# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1664954585.25204 0.153385 -3.209611 0.005863 -0.001651 -0.009318 -0.630977 0.775744 0.0000050298 0.0000000309 0.0000068660 0.0000047059 0.0000038924 0.0004065514 0.0068633219 0.0001453416 0.0000030383 0.0037065460 0.0000458891 0.0027179493
1664954585.35209 0.170745 -3.309611 0.008927 0.001282 -0.009104 -0.627152 0.778842 0.0000049241 0.0000000465 0.0000052889 0.0000047084 0.0000055259 0.0004065014 0.0071407304 0.0001703938 0.0000034192 0.0037692123 0.0000467168 0.0027231341
1664954585.45215 0.186159 -3.411972 0.011155 0.003316 -0.011061 -0.627149 0.778814 0.0000048586 0.0000000768 0.0000054453 0.0000047329 0.0000077624 0.0004065113 0.0074203747 0.0001927074 0.0000039994 0.0038331750 0.0000492433 0.0027282632
1664954585.55204 0.206226 -3.510848 0.016183 0.003400 -0.011342 -0.625406 0.780210 0.0000048080 0.0000000845 0.0000055539 0.0000046986 0.0000078587 0.0004063448 0.0077207174 0.0002235966 0.0000048412 0.0039001737 0.0000495582 0.0027331526
1664954585.65205 0.234398 -3.617001 0.020013 0.001960 -0.009161 -0.622892 0.782251 0.0000047464 0.0000000529 0.0000048772 0.0000046088 0.0000059099 0.0004063785 0.0080345813 0.0002635016 0.0000057689 0.0039730048 0.0000485284 0.0027393731
1664954585.75206 0.258964 -3.727043 0.023224 0.001416 -0.009340 -0.621279 0.783533 0.0000047269 0.0000000621 0.0000054103 0.0000045825 0.0000056288 0.0004063381 0.0083665225 0.0003002949 0.0000071455 0.0040535812 0.0000485212 0.0027472737
1664954585.85206 0.281219 -3.841459 0.029308 0.004066 -0.009546 -0.619645 0.784814 0.0000045752 0.0000000423 0.0000039375 0.0000045709 0.0000074377 0.0004062575 0.0087307491 0.0003352155 0.0000084538 0.0041215007 0.0000476135 0.0027498439
1664954585.95205 0.305347 -3.949766 0.033140 0.004533 -0.009431 -0.618456 0.785750 0.0000045557 0.0000000497 0.0000038700 0.0000045497 0.0000075919 0.0004062285 0.0090797002 0.0003761766 0.0000091696 0.0042134190 0.0000476211 0.0027558392
1664954586.05205 0.331445 -4.054905 0.037375 0.002785 -0.010150 -0.616373 0.787384 0.0000045645 0.0000000697 0.0000052001 0.0000045056 0.0000068474 0.0004061877 0.0094306629 0.0004201985 0.0000099306 0.0043085131 0.0000461452 0.0027621029
1664954586.15206 0.357012 -4.158840 0.043613 0.000549 -0.012240 -0.616289 0.787425 0.0000046129 0.0000001117 0.0000076704 0.0000044677 0.0000065196 0.0004060823 0.0097872742 0.0004625384 0.0000107426 0.0044028973 0.0000443316 0.0027680771
1664954586.25206 0.387356 -4.272471 0.048806 0.000291 -0.010641 -0.615249 0.788261 0.0000045510 0.0000000892 0.0000067914 0.0000044128 0.0000055639 0.0004061109 0.0101869340 0.0005171738 0.0000112985 0.0045042478 0.0000422926 0.0027742904
1664954586.35207 0.415634 -4.394445 0.050737 0.000932 -0.010676 -0.615927 0.787730 0.0000045064 0.0000001022 0.0000064660 0.0000044047 0.0000060630 0.0004060801 0.0106276046 0.0005726998 0.0000129702 0.0046120389 0.0000421269 0.0027833445
1664954586.45205 0.442978 -4.529516 0.053347 0.001952 -0.011139 -0.616914 0.786949 0.0000044574 0.0000000996 0.0000063371 0.0000043866 0.0000066973 0.0004060405 0.0111259304 0.0006324717 0.0000144973 0.0047219674 0.0000436053 0.0027922062
1664954586.55206 0.478614 -4.673583 0.057691 0.000605 -0.010313 -0.617508 0.786496 0.0000044156 0.0000000775 0.0000064974 0.0000043177 0.0000054367 0.0004060302 0.0116707079 0.0007065020 0.0000160227 0.0048277274 0.0000461794 0.0028010153
1664954586.65206 0.518018 -4.826980 0.063623 0.000350 -0.006515 -0.619333 0.785101 0.0000043219 0.0000000283 0.0000041823 0.0000042397 0.0000034357 0.0004061102 0.0122719287 0.0007955436 0.0000178555 0.0049244291 0.0000487638 0.0028106221
1664954586.75205 0.548805 -4.979720 0.067570 0.002856 -0.004986 -0.624729 0.780820 0.0000042503 0.0000000125 0.0000018633 0.0000042104 0.0000043344 0.0004061012 0.0128835228 0.0008701739 0.0000200583 0.0050415316 0.0000514688 0.0028220302
1664954586.85207 0.572057 -5.107657 0.072515 0.003590 -0.007827 -0.631500 0.775328 0.0000041997 0.0000000215 0.0000031129 0.0000041883 0.0000063769 0.0004059375 0.0134357021 0.0009316639 0.0000196887 0.0051571599 0.0000587481 0.0028301862
1664954586.95209 0.602071 -5.214968 0.077438 0.000960 -0.006536 -0.641056 0.767466 0.0000041591 0.0000000218 0.0000037389 0.0000040789 0.0000040452 0.0004059107 0.0138982961 0.0010146949 0.0000183963 0.0052580979 0.0000648500 0.0028386545
1664954587.05208 0.621262 -5.315015 0.081896 0.000893 -0.006594 -0.647960 0.761645 0.0000040998 0.0000000392 0.0000036746 0.0000040348 0.0000040429 0.0004058717 0.0143382919 0.0010831560 0.0000158761 0.0052625937 0.0000723054 0.0028451934
1664954587.15208 0.637903 -5.419530 0.083635 -0.000055 -0.005612 -0.655230 0.755408 0.0000040672 0.0000000413 0.0000036457 0.0000039842 0.0000029763 0.0004058228 0.0147884590 0.0011564999 0.0000149582 0.0052501741 0.0000773319 0.0028533277
1664954587.25209 0.651140 -5.529713 0.088359 0.000525 -0.006802 -0.657045 0.753820 0.0000040378 0.0000000556 0.0000038759 0.0000039757 0.0000040636 0.0004057580 0.0153072006 0.0012221532 0.0000139674 0.0052320837 0.0000786853 0.0028616106
1664954587.35210 0.665700 -5.655316 0.089416 0.001764 -0.006407 -0.659411 0.751753 0.0000040214 0.0000000628 0.0000031484 0.0000039728 0.0000045033 0.0004057305 0.0158712520 0.0012850431 0.0000144233 0.0053066940 0.0000819926 0.0028732750
1664954587.45210 0.685589 -5.782320 0.091897 0.000302 -0.005256 -0.662285 0.749234 0.0000040245 0.0000000501 0.0000030984 0.0000039380 0.0000030159 0.0004057428 0.0164853016 0.0013576932 0.0000147702 0.0054133613 0.0000843726 0.0028855355
1664954587.55210 0.702610 -5.916153 0.093103 0.001294 -0.002400 -0.664666 0.747136 0.0000039918 0.0000000343 0.0000008815 0.0000039161 0.0000021507 0.0004057560 0.0171328619 0.0014267476 0.0000149700 0.0055162267 0.0000846768 0.0028977136
1664954587.65210 0.715942 -6.038023 0.096260 0.000173 -0.004211 -0.665680 0.746225 0.0000039984 0.0000000480 0.0000025871 0.0000039186 0.0000023903 0.0004057331 0.0177556344 0.0014856310 0.0000154083 0.0056303498 0.0000867000 0.0029111290
1664954587.75211 0.727565 -6.157930 0.098720 -0.000370 -0.005486 -0.667344 0.744729 0.0000040031 0.0000000588 0.0000036163 0.0000039246 0.0000028615 0.0004057108 0.0183659961 0.0015364413 0.0000158267 0.0057424072 0.0000878486 0.0029242120
1664954587.85211 0.743699 -6.278856 0.102440 -0.001878 -0.005699 -0.667816 0.744302 0.0000040180 0.0000000591 0.0000045581 0.0000039160 0.0000019967 0.0004057057 0.0189760427 0.0016024794 0.0000159481 0.0058613367 0.0000888647 0.0029373354
1664954587.95211 0.755408 -6.399770 0.104387 -0.001512 -0.005612 -0.669444 0.742839 0.0000040146 0.0000000646 0.0000043089 0.0000039192 0.0000021750 0.0004057101 0.0196134652 0.0016610030 0.0000164107 0.0059777832 0.0000906548 0.0029511990
1664954588.05211 0.767197 -6.510957 0.106887 -0.002999 -0.006638 -0.670589 0.741793 0.0000040353 0.0000000731 0.0000057293 0.0000039153 0.0000018205 0.0004056700 0.0202438090 0.0017219029 0.0000166383 0.0060819787 0.0000917612 0.0029647785
1664954588.15212 0.782010 -6.630195 0.106938 -0.003455 -0.005414 -0.670551 0.741836 0.0000040281 0.0000000647 0.0000051880 0.0000039124 0.0000009361 0.0004056908 0.0208768364 0.0017865657 0.0000167443 0.0061968800 0.0000939721 0.0029789272
1664954588.25211 0.795108 -6.751219 0.109192 -0.004441 -0.005686 -0.671118 0.741315 0.0000040418 0.0000000624 0.0000059079 0.0000039105 0.0000005143 0.0004056588 0.0215474526 0.0018516653 0.0000168195 0.0063113910 0.0000961214 0.0029931579
1664954588.35210 0.809098 -6.883639 0.108565 -0.004435 -0.004884 -0.671734 0.740763 0.0000040234 0.0000000545 0.0000053236 0.0000039080 0.0000001269 0.0004056622 0.0222935102 0.0019225213 0.0000168373 0.0064425170 0.0000989846 0.0030083083
1664954588.45210 0.821138 -7.028209 0.109226 -0.000812 -0.002791 -0.672086 0.740467 0.0000039605 0.0000000586 0.0000021773 0.0000038973 0.0000011000 0.0004056857 0.0231368144 0.0019971498 0.0000160244 0.0065536837 0.0001031595 0.0030242057
1664954588.55211 0.836843 -7.169408 0.109955 -0.002702 -0.003172 -0.672124 0.740427 0.0000039848 0.0000000551 0.0000034438 0.0000038995 0.0000001918 0.0004056799 0.0239554279 0.0020829480 0.0000158453 0.0066768781 0.0001071640 0.0030415622
1664954588.65211 0.850483 -7.309336 0.111736 -0.003333 -0.003074 -0.672919 0.739702 0.0000040003 0.0000000503 0.0000037633 0.0000039085 -0.0000001717 0.0004056970 0.0248159729 0.0021645616 0.0000159222 0.0068128207 0.0001103884 0.0030599922
1664954588.75211 0.860017 -7.453345 0.113103 -0.001513 -0.003192 -0.673792 0.738913 0.0000039818 0.0000000583 0.0000028694 0.0000039155 0.0000009365 0.0004057208 0.0256833338 0.0022307793 0.0000165617 0.0069562903 0.0001127500 0.0030785217
1664954588.85212 0.871765 -7.592184 0.115408 -0.003538 -0.005922 -0.673760 0.738918 0.0000040720 0.0000000635 0.0000056003 0.0000039416 0.0000010194 0.0004057128 0.0265389373 0.0023027323 0.0000172190 0.0071130471 0.0001152170 0.0030973345
1664954588.95213 0.887049 -7.731622 0.115503 -0.006102 -0.006214 -0.674515 0.738210 0.0000041044 0.0000000453 0.0000071720 0.0000039453 -0.0000002168 0.0004057164 0.0274347763 0.0023869512 0.0000178863 0.0072727707 0.0001177816 0.0031169764
1664954589.05213 0.906108 -7.880711 0.118356 -0.008149 -0.005207 -0.674851 0.737890 0.0000041240 0.0000000123 0.0000077049 0.0000039556 -0.0000019697 0.0004056731 0.0283522321 0.0024810439 0.0000178243 0.0074388744 0.0001219022 0.0031364739
1664954589.15213 0.915146 -8.040231 0.117972 -0.004397 -0.004702 -0.676719 0.736213 0.0000040481 0.0000000499 0.0000052611 0.0000039593 0.0000000230 0.0004058066 0.0294000149 0.0025587812 0.0000187761 0.0076006965 0.0001256076 0.0031581528
1664954589.25213 0.929735 -8.190258 0.118896 -0.005354 -0.004133 -0.678136 0.734906 0.0000040531 0.0000000379 0.0000054220 0.0000039846 -0.0000008582 0.0004058562 0.0304313775 0.0026546424 0.0000193369 0.0077738918 0.0001289033 0.0031808925
1664954589.35214 0.943076 -8.336375 0.119978 -0.003862 -0.002016 -0.680809 0.732448 0.0000040138 0.0000000399 0.0000034218 0.0000040005 -0.0000012079 0.0004059307 0.0314487445 0.0027430462 0.0000203639 0.0079504641 0.0001323215 0.0032034420
1664954589.45214 0.950943 -8.482523 0.120599 -0.002034 -0.001862 -0.683840 0.729627 0.0000039968 0.0000000462 0.0000023642 0.0000040051 -0.0000001094 0.0004059307 0.0324397351 0.0028112066 0.0000217794 0.0081143167 0.0001356755 0.0032248868
1664954589.55214 0.964381 -8.632632 0.120929 -0.001273 0.000712 -0.685880 0.727713 0.0000039924 0.0000000372 0.0000005595 0.0000040300 -0.0000011903 0.0004059505 0.0334939665 0.0029108277 0.0000222228 0.0082718329 0.0001399585 0.0032484558
1664954589.65215 0.973924 -8.769610 0.123590 -0.000788 0.001992 -0.687380 0.726295 0.0000039766 0.0000000448 -0.0000004655 0.0000040480 -0.0000016381 0.0004060176 0.0345937683 0.0030031649 0.0000224712 0.0083896880 0.0001426982 0.0032706716
1664954589.75215 0.993303 -8.912762 0.125209 -0.003103 0.005955 -0.688575 0.725134 0.0000039951 0.0000000597 -0.0000014891 0.0000041389 -0.0000051993 0.0004060436 0.0356112037 0.0031156359 0.0000223856 0.0085565174 0.0001461695 0.0032937680
1664954589.85216 0.998890 -9.042828 0.130441 -0.003172 0.004841 -0.690630 0.723185 0.0000040077 0.0000000479 -0.0000007074 0.0000041744 -0.0000045811 0.0004061882 0.0366564181 0.0031895018 0.0000232336 0.0087086817 0.0001486412 0.0033161851
1664954589.95216 0.998442 -9.171329 0.133131 -0.000689 0.003405 -0.692633 0.721282 0.0000040413 0.0000000434 -0.0000012921 0.0000041819 -0.0000025200 0.0004063189 0.0376520429 0.0032455178 0.0000254514 0.0088023213 0.0001474167 0.0033364524
1664954590.05216 0.997694 -9.277916 0.136675 -0.000416 0.001464 -0.695016 0.718993 0.0000040254 0.0000000144 -0.0000004395 0.0000041634 -0.0000011966 0.0004063899 0.0385574900 0.0032983846 0.0000286582 0.0087880102 0.0001439242 0.0033537402
1664954590.15216 0.998062 -9.376711 0.139886 -0.002594 -0.001131 -0.697658 0.716425 0.0000040385 -0.0000000140 0.0000024169 0.0000041797 -0.0000010350 0.0004064265 0.0392906849 0.0033539983 0.0000323180 0.0086839565 0.0001393893 0.0033683677
1664954590.25217 1.002960 -9.474302 0.144739 -0.007094 -0.001154 -0.700512 0.713605 0.0000040886 -0.0000000572 0.0000049914 0.0000042318 -0.0000036294 0.0004064355 0.0400610190 0.0034341341 0.0000356161 0.0085257652 0.0001324316 0.0033819812
1664954590.35217 1.006395 -9.580722 0.150556 -0.007525 0.000580 -0.703301 0.710852 0.0000040723 -0.0000000639 0.0000042767 0.0000042771 -0.0000048509 0.0004064996 0.0408745981 0.0035029530 0.0000402974 0.0083844111 0.0001240604 0.0033949532
1664954590.45216 1.000748 -9.682272 0.153449 -0.005740 0.000401 -0.706374 0.707815 0.0000040433 -0.0000000398 0.0000032300 0.0000042298 -0.0000036780 0.0004064598 0.0416802548 0.0035372833 0.0000454251 0.0082977514 0.0001156754 0.0034044352
1664954590.55218 1.001902 -9.782422 0.157204 -0.005947 -0.002134 -0.709865 0.704309 0.0000040788 -0.0000000274 0.0000049674 0.0000041993 -0.0000023322 0.0004064293 0.0423888396 0.0035665992 0.0000497960 0.0082397085 0.0001018373 0.0034134527
1664954590.65220 1.003003 -9.876533 0.152909 -0.004217 -0.003839 -0.715886 0.698194 0.0000040691 -0.0000000133 0.0000046336 0.0000041591 -0.0000001496 0.0004062227 0.0431748317 0.0035963515 0.0000557458 0.0082582377 0.0000929555 0.0034185355
1664954590.75219 0.995781 -9.976618 0.156830 -0.001992 -0.003199 -0.719776 0.694196 0.0000040713 -0.0000000093 0.0000031969 0.0000041738 0.0000006618 0.0004063072 0.0439936683 0.0036496579 0.0000590159 0.0083253607 0.0000890366 0.0034285422
1664954590.85219 0.993234 -10.072739 0.160525 -0.002991 -0.002707 -0.725338 0.688381 0.0000040829 -0.0000000400 0.0000034233 0.0000041815 -0.0000001686 0.0004063794 0.0448114175 0.0036727878 0.0000614821 0.0083909017 0.0000823101 0.0034362881
1664954590.95219 0.990148 -10.178046 0.164178 -0.003897 -0.001244 -0.729637 0.683822 0.0000041116 -0.0000000616 0.0000032309 0.0000042192 -0.0000015395 0.0004064501 0.0456341449 0.0036971452 0.0000627115 0.0084847331 0.0000799711 0.0034487268
1664954591.05219 0.975732 -10.273742 0.168729 -0.004183 -0.003887 -0.732998 0.680207 0.0000041374 -0.0000000430 0.0000047338 0.0000041851 -0.0000001697 0.0004062136 0.0464997244 0.0036878902 0.0000656181 0.0085586812 0.0000732610 0.0034552724
1664954591.15220 0.961930 -10.391579 0.168558 -0.002652 -0.005891 -0.734899 0.678145 0.0000041393 -0.0000000396 0.0000049125 0.0000042265 0.0000019453 0.0004062883 0.0473933041 0.0036571290 0.0000648925 0.0086328330 0.0000649918 0.0034669207
1664954591.25220 0.952986 -10.518249 0.167205 -0.002917 -0.006454 -0.737493 0.675318 0.0000041366 -0.0000000369 0.0000053323 0.0000042370 0.0000022675 0.0004062228 0.0484663929 0.0036745157 0.0000648984 0.0086725505 0.0000515505 0.0034749375
1664954591.35220 0.941271 -10.646104 0.167846 -0.002967 -0.007154 -0.739751 0.672836 0.0000041668 -0.0000000490 0.0000058897 0.0000042958 0.0000026740 0.0004062963 0.0495682670 0.0036892924 0.0000610213 0.0087046748 0.0000409785 0.0034871564
1664954591.45220 0.929389 -10.774032 0.166269 -0.003148 -0.007091 -0.742094 0.670251 0.0000041695 -0.0000000639 0.0000060707 0.0000043121 0.0000025833 0.0004063732 0.0506910827 0.0036979628 0.0000560659 0.0087266831 0.0000322619 0.0034953681
1664954591.55221 0.917514 -10.910474 0.170765 -0.000294 -0.004170 -0.745454 0.666544 0.0000041032 -0.0000001099 0.0000027125 0.0000042865 0.0000023371 0.0004064896 0.0519163068 0.0036955210 0.0000515279 0.0087561787 0.0000195284 0.0035012344
1664954591.65222 0.902638 -11.041069 0.172987 0.003626 -0.001449 -0.748948 0.662617 0.0000041035 -0.0000001461 -0.0000011746 0.0000043032 0.0000028082 0.0004065872 0.0531482176 0.0036908318 0.0000476315 0.0088246481 0.0000089667 0.0035079248
1664954591.75223 0.886889 -11.153901 0.173609 0.005124 -0.002434 -0.756247 0.654262 0.0000041332 -0.0000001652 -0.0000016607 0.0000043994 0.0000041558 0.0004066832 0.0541961047 0.0036671795 0.0000457241 0.0089401923 0.0000009176 0.0035092985
1664954591.85225 0.875957 -11.257594 0.172563 0.004297 -0.001510 -0.762449 0.647033 0.0000041755 -0.0000001653 -0.0000017936 0.0000044566 0.0000033047 0.0004067992 0.0551761105 0.0036572019 0.0000454337 0.0090459224 0.0000004891 0.0035086902
1664954591.95224 0.860325 -11.356916 0.169195 0.004362 -0.001330 -0.769727 0.638357 0.0000042465 -0.0000001952 -0.0000018145 0.0000045837 0.0000032940 0.0004068395 0.0561060689 0.0036280750 0.0000478206 0.0091221907 0.0000006979 0.0035044032
1664954592.05225 0.840146 -11.461192 0.164103 0.004324 -0.001273 -0.772827 0.634601 0.0000042727 -0.0000002212 -0.0000019226 0.0000046845 0.0000032216 0.0004069823 0.0571006581 0.0035772356 0.0000495052 0.0091848022 0.0000044765 0.0035052572
