# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1666059842.35168 0.014346 -2.089202 -0.007037 0.006307 0.003432 -0.700311 0.713801 0.0000061335 0.0000000364 -0.0000038846 0.0000061992 0.0000022984 0.0004113084 0.0044081825 0.0000138583 0.0000024721 0.0034272106 0.0000623126 0.0026664034
1666059842.45173 0.020669 -2.186569 -0.008601 -0.004700 -0.004593 -0.699275 0.714823 0.0000058657 0.0000000767 0.0000058784 0.0000058241 -0.0000000561 0.0004108620 0.0045885581 0.0000220937 0.0000023709 0.0034811978 0.0000601068 0.0026718670
1666059842.55171 0.020073 -2.292120 -0.013344 -0.008621 -0.010017 -0.699069 0.714932 0.0000060317 0.0000001027 0.0000112178 0.0000058109 0.0000006185 0.0004106206 0.0047881015 0.0000215851 0.0000022802 0.0035764954 0.0000633156 0.0026828169
1666059842.65167 0.021405 -2.401742 -0.010428 -0.010547 -0.011459 -0.698757 0.715189 0.0000058370 0.0000001107 0.0000127569 0.0000054230 0.0000002304 0.0004093230 0.0049935086 0.0000268937 0.0000030915 0.0035640546 0.0000527586 0.0026874337
1666059842.75166 0.023277 -2.503551 -0.006592 -0.008067 -0.008265 -0.697476 0.716515 0.0000054940 0.0000001283 0.0000094489 0.0000052726 -0.0000000148 0.0004092198 0.0052198761 0.0000295251 0.0000029295 0.0035943331 0.0000512602 0.0026960497
1666059842.85170 0.018513 -2.599898 -0.005706 -0.008480 -0.012623 -0.698109 0.715830 0.0000055396 0.0000001989 0.0000123962 0.0000051450 0.0000020887 0.0004087720 0.0054033409 0.0000286278 0.0000033152 0.0035984695 0.0000490668 0.0027036604
1666059842.95168 0.025532 -2.707799 0.000078 -0.009260 -0.009660 -0.697510 0.716450 0.0000054265 0.0000001398 0.0000110880 0.0000050494 -0.0000000555 0.0004086282 0.0056310846 0.0000357817 0.0000022114 0.0036300912 0.0000466903 0.0027113661
1666059843.05173 0.032709 -2.831467 -0.000182 -0.010509 -0.009360 -0.695460 0.718427 0.0000054466 0.0000001396 0.0000115188 0.0000050345 -0.0000007735 0.0004084254 0.0059353806 0.0000434181 0.0000021343 0.0037001147 0.0000487164 0.0027225961
1666059843.15173 0.032416 -2.994822 -0.001086 -0.007127 -0.007792 -0.695827 0.718132 0.0000051593 0.0000001257 0.0000085242 0.0000049613 0.0000003154 0.0004083330 0.0063256079 0.0000458918 0.0000011239 0.0037076671 0.0000413667 0.0027320781
1666059843.25165 0.048011 -3.197137 -0.001233 -0.005465 -0.000542 -0.694541 0.719432 0.0000050118 0.0000000914 0.0000032639 0.0000050080 -0.0000028694 0.0004083752 0.0067885049 0.0000690146 0.0000007139 0.0036606767 0.0000360135 0.0027459762
1666059843.35159 0.061328 -3.374055 -0.000478 -0.003261 0.005115 -0.695329 0.718666 0.0000049610 0.0000001213 -0.0000011283 0.0000050084 -0.0000046476 0.0004081844 0.0073333793 0.0000862330 0.0000005787 0.0035774470 0.0000321056 0.0027617107
1666059843.45145 0.063772 -3.536680 -0.001119 -0.002553 0.004139 -0.693705 0.720242 0.0000049729 0.0000000979 -0.0000008647 0.0000049957 -0.0000039117 0.0004081061 0.0078083016 0.0000965362 0.0000004229 0.0035596895 0.0000316836 0.0027789299
1666059843.55149 0.067682 -3.698519 -0.001359 -0.003283 0.003282 -0.693801 0.720151 0.0000050738 0.0000001088 -0.0000000316 0.0000050295 -0.0000037024 0.0004080591 0.0082758995 0.0001059130 0.0000003224 0.0036453081 0.0000350497 0.0027984002
1666059843.65143 0.073233 -3.856550 -0.001390 -0.002760 0.004288 -0.694244 0.719722 0.0000051369 0.0000001191 -0.0000008331 0.0000050454 -0.0000040963 0.0004079663 0.0087748203 0.0001158670 0.0000002271 0.0037430608 0.0000396646 0.0028191172
1666059843.75145 0.077299 -4.005164 -0.000992 -0.002033 0.003818 -0.693179 0.720752 0.0000052539 0.0000001299 -0.0000010235 0.0000050532 -0.0000035601 0.0004079276 0.0092671496 0.0001264572 -0.0000000238 0.0038439737 0.0000455758 0.0028401890
1666059843.85154 0.082411 -4.143158 -0.001982 -0.000323 0.005783 -0.692819 0.721089 0.0000050867 0.0000001206 -0.0000032488 0.0000049731 -0.0000033846 0.0004076910 0.0097633316 0.0001370397 -0.0000002054 0.0038928556 0.0000484201 0.0028599690
1666059843.95156 0.090446 -4.280173 -0.002153 0.000320 0.007122 -0.692095 0.721771 0.0000050942 0.0000001292 -0.0000042301 0.0000049258 -0.0000037907 0.0004075531 0.0102184672 0.0001527531 -0.0000010174 0.0039381117 0.0000530122 0.0028782559
1666059844.05152 0.096263 -4.417624 -0.009013 0.001717 0.009040 -0.691440 0.722376 0.0000050709 0.0000001259 -0.0000061930 0.0000048813 -0.0000040284 0.0004074252 0.0107005111 0.0001693560 -0.0000017120 0.0039721123 0.0000546475 0.0028970665
1666059844.15150 0.100559 -4.546869 -0.014112 0.003074 0.010058 -0.691662 0.722145 0.0000051874 0.0000001408 -0.0000076132 0.0000048849 -0.0000038412 0.0004073834 0.0112002692 0.0001824688 -0.0000024514 0.0040259801 0.0000581662 0.0029170742
1666059844.25143 0.106369 -4.675452 -0.014827 0.004163 0.009758 -0.691683 0.722124 0.0000051997 0.0000001323 -0.0000076014 0.0000048441 -0.0000033698 0.0004073334 0.0116812534 0.0001903396 -0.0000041566 0.0040451602 0.0000597595 0.0029337767
1666059844.35147 0.110539 -4.810464 -0.020809 0.002129 0.007523 -0.694264 0.719678 0.0000051749 0.0000001240 -0.0000053869 0.0000048284 -0.0000031578 0.0004074099 0.0122081904 0.0002091559 -0.0000049004 0.0041119662 0.0000621580 0.0029534754
1666059844.45145 0.117619 -4.966425 -0.026400 0.003260 0.010487 -0.693992 0.719899 0.0000053136 0.0000001931 -0.0000077745 0.0000048369 -0.0000039683 0.0004072914 0.0128436370 0.0002288606 -0.0000060521 0.0041968711 0.0000661007 0.0029753256
1666059844.55145 0.122995 -5.131971 -0.031886 0.005407 0.011810 -0.694139 0.719723 0.0000053848 0.0000002059 -0.0000095950 0.0000048110 -0.0000035301 0.0004071698 0.0135119219 0.0002397724 -0.0000071209 0.0042852554 0.0000721617 0.0029980669
1666059844.65138 0.126896 -5.287518 -0.037006 0.007211 0.013632 -0.696486 0.717404 0.0000054535 0.0000002209 -0.0000116989 0.0000048003 -0.0000033729 0.0004070401 0.0141990103 0.0002609570 -0.0000072011 0.0043705389 0.0000756326 0.0030223204
1666059844.75146 0.131714 -5.426727 -0.043554 0.005518 0.011997 -0.699534 0.714478 0.0000053554 0.0000002128 -0.0000096562 0.0000047994 -0.0000035511 0.0004071261 0.0148082433 0.0002744337 -0.0000072733 0.0044693123 0.0000806745 0.0030467099
1666059844.85145 0.138320 -5.562431 -0.050003 0.005399 0.011411 -0.700714 0.713331 0.0000052780 0.0000001991 -0.0000095010 0.0000047808 -0.0000032129 0.0004070787 0.0154392309 0.0002898876 -0.0000072402 0.0045588760 0.0000858703 0.0030711137
1666059844.95143 0.139141 -5.691728 -0.054493 0.004454 0.009577 -0.701805 0.712291 0.0000052066 0.0000001594 -0.0000077978 0.0000047906 -0.0000028463 0.0004071476 0.0160764787 0.0003124426 -0.0000071384 0.0046544968 0.0000911153 0.0030960199
1666059845.05139 0.142536 -5.824890 -0.061593 0.003443 0.008925 -0.702797 0.711326 0.0000051300 0.0000001637 -0.0000069663 0.0000047439 -0.0000033620 0.0004070395 0.0167134256 0.0003270314 -0.0000072242 0.0047319186 0.0000943153 0.0031192495
1666059845.15140 0.144638 -5.951116 -0.063707 0.003007 0.008520 -0.703377 0.710760 0.0000050782 0.0000001270 -0.0000063530 0.0000047034 -0.0000032244 0.0004070180 0.0173561459 0.0003353182 -0.0000082090 0.0048099444 0.0000985410 0.0031441150
1666059845.25141 0.142590 -6.083234 -0.067490 0.003702 0.007231 -0.703503 0.710646 0.0000050907 0.0000001152 -0.0000059798 0.0000046989 -0.0000021519 0.0004070454 0.0179931121 0.0003370805 -0.0000092444 0.0049032747 0.0001057517 0.0031697278
1666059845.35140 0.143142 -6.233534 -0.069049 0.002809 0.007030 -0.704237 0.709925 0.0000050760 0.0000000975 -0.0000049673 0.0000047073 -0.0000023978 0.0004070272 0.0186790543 0.0003473137 -0.0000097123 0.0049978769 0.0001121298 0.0031959300
1666059845.45140 0.143711 -6.379087 -0.070589 0.001574 0.006824 -0.705197 0.708977 0.0000050053 0.0000000700 -0.0000042101 0.0000047007 -0.0000026772 0.0004070542 0.0194986203 0.0003572962 -0.0000098205 0.0050725491 0.0001095343 0.0032216870
1666059845.55140 0.140437 -6.532046 -0.072401 0.003769 0.007534 -0.707820 0.706343 0.0000051027 0.0000000746 -0.0000060142 0.0000047092 -0.0000019102 0.0004070319 0.0203352090 0.0003588754 -0.0000100663 0.0051787014 0.0001136569 0.0032510283
1666059845.65142 0.134711 -6.685079 -0.074889 0.006963 0.007306 -0.716329 0.697690 0.0000052005 0.0000000471 -0.0000075876 0.0000047156 -0.0000001221 0.0004070068 0.0211545275 0.0003548345 -0.0000090293 0.0052845818 0.0001145064 0.0032763656
1666059845.75144 0.136293 -6.832516 -0.076705 0.004311 0.006658 -0.725616 0.688054 0.0000050894 0.0000000717 -0.0000057987 0.0000047559 -0.0000016880 0.0004070058 0.0219575352 0.0003739560 -0.0000088764 0.0053855907 0.0001141702 0.0032976264
1666059845.85149 0.142556 -6.971921 -0.079322 -0.000393 0.009394 -0.726398 0.687210 0.0000050406 0.0000001364 -0.0000045449 0.0000048081 -0.0000055291 0.0004068873 0.0227940049 0.0003905715 -0.0000105530 0.0055067619 0.0001190947 0.0033253856
1666059845.95145 0.125304 -7.112506 -0.083590 0.002923 0.006770 -0.728004 0.685534 0.0000050065 0.0000001038 -0.0000050561 0.0000047452 -0.0000024556 0.0004069021 0.0236201825 0.0003637342 -0.0000106171 0.0056276873 0.0001227332 0.0033525084
1666059846.05143 0.118176 -7.251718 -0.084687 0.001483 0.004446 -0.728081 0.685475 0.0000049300 0.0000000905 -0.0000027515 0.0000046886 -0.0000016019 0.0004068412 0.0244338977 0.0003416061 -0.0000107594 0.0057330435 0.0001245415 0.0033790403
1666059846.15144 0.112977 -7.404346 -0.086601 0.000365 0.006319 -0.729517 0.683933 0.0000049295 0.0000000928 -0.0000033101 0.0000047143 -0.0000035151 0.0004068060 0.0253341340 0.0003479751 -0.0000116256 0.0058445544 0.0001272371 0.0034081135
1666059846.25144 0.103463 -7.560729 -0.088864 0.000215 0.006266 -0.729549 0.683900 0.0000049087 0.0000000877 -0.0000031702 0.0000047017 -0.0000035285 0.0004067730 0.0262921516 0.0003269352 -0.0000121243 0.0059608509 0.0001291178 0.0034365711
1666059846.35145 0.094141 -7.712121 -0.091430 -0.000253 0.005959 -0.729624 0.683823 0.0000049265 0.0000000749 -0.0000027952 0.0000047005 -0.0000038103 0.0004067809 0.0272799436 0.0003104421 -0.0000126732 0.0060813931 0.0001303810 0.0034647105
1666059846.45145 0.086605 -7.870648 -0.097072 -0.000151 0.009123 -0.729841 0.683556 0.0000048701 0.0000001366 -0.0000045587 0.0000047010 -0.0000054177 0.0004066593 0.0282447317 0.0003014859 -0.0000135055 0.0061866292 0.0001325448 0.0034893508
1666059846.55150 0.075717 -8.003311 -0.097264 -0.001830 0.006006 -0.730251 0.683150 0.0000048179 0.0000000978 -0.0000018893 0.0000046805 -0.0000047812 0.0004067299 0.0291856917 0.0002717383 -0.0000143218 0.0063184935 0.0001366806 0.0035179677
1666059846.65148 0.062398 -8.130613 -0.098045 -0.000851 0.003340 -0.731546 0.681783 0.0000048032 0.0000000796 -0.0000010315 0.0000046396 -0.0000025996 0.0004067752 0.0300679539 0.0002298183 -0.0000126351 0.0064364838 0.0001400707 0.0035434464
1666059846.75147 0.055092 -8.264593 -0.100606 -0.005328 0.001356 -0.731897 0.681393 0.0000047929 0.0000000546 0.0000028536 0.0000046408 -0.0000038247 0.0004067226 0.0308714277 0.0002186583 -0.0000117163 0.0065122508 0.0001434659 0.0035686980
1666059846.85152 0.049665 -8.417639 -0.109249 0.002265 0.011083 -0.733696 0.679383 0.0000049489 0.0000001747 -0.0000069840 0.0000046744 -0.0000053601 0.0004066118 0.0320185324 0.0002005744 -0.0000108818 0.0066070086 0.0001426359 0.0035967822
1666059846.95155 0.037480 -8.561805 -0.106480 -0.000290 0.009143 -0.734058 0.679025 0.0000048780 0.0000001680 -0.0000044470 0.0000046612 -0.0000054046 0.0004065875 0.0329897711 0.0001777115 -0.0000081591 0.0066917068 0.0001403569 0.0036191922
1666059847.05158 0.027509 -8.720311 -0.109900 0.003647 0.013138 -0.732600 0.680522 0.0000050708 0.0000002312 -0.0000091157 0.0000046742 -0.0000059961 0.0004064452 0.0341326438 0.0001500595 -0.0000091728 0.0068248464 0.0001473400 0.0036501312
1666059847.15158 0.007188 -8.868634 -0.108897 0.010677 0.013513 -0.731984 0.681104 0.0000054389 0.0000001747 -0.0000132741 0.0000045990 -0.0000020986 0.0004063213 0.0352382057 0.0000842116 -0.0000080338 0.0069403941 0.0001503257 0.0036751653
1666059847.25161 -0.005551 -9.002666 -0.116000 0.008805 0.010733 -0.732471 0.680657 0.0000051733 0.0000001190 -0.0000107632 0.0000046034 -0.0000016218 0.0004064739 0.0362270034 0.0000443310 -0.0000080784 0.0070725005 0.0001550820 0.0037041525
1666059847.35164 -0.006046 -9.126325 -0.122004 0.000772 0.007421 -0.730976 0.682362 0.0000049316 0.0000001264 -0.0000041329 0.0000046480 -0.0000039600 0.0004067143 0.0371620387 0.0000420800 -0.0000084431 0.0072059263 0.0001615470 0.0037349078
1666059847.45166 -0.017361 -9.264470 -0.120578 0.005777 0.009487 -0.730725 0.682582 0.0000050738 0.0000001335 -0.0000080854 0.0000046191 -0.0000026325 0.0004066300 0.0381752217 0.0000042428 -0.0000055736 0.0073251093 0.0001698060 0.0037618771
1666059847.55166 -0.027633 -9.373413 -0.124114 0.003965 0.005511 -0.731187 0.682143 0.0000049166 0.0000000805 -0.0000050915 0.0000046070 -0.0000011187 0.0004067554 0.0390928231 -0.0000332760 -0.0000017797 0.0074151470 0.0001732383 0.0037847065
1666059847.65166 -0.031617 -9.484045 -0.126054 0.004410 0.007737 -0.729850 0.683549 0.0000048721 0.0000000886 -0.0000064407 0.0000045655 -0.0000022286 0.0004066344 0.0399734877 -0.0000478726 0.0000040860 0.0074670120 0.0001772507 0.0038041927
1666059847.75165 -0.038813 -9.587622 -0.127152 0.004152 0.005967 -0.729616 0.683818 0.0000048590 0.0000000744 -0.0000053654 0.0000045529 -0.0000013344 0.0004066866 0.0407993718 -0.0000798174 0.0000073403 0.0075291371 0.0001814845 0.0038270392
1666059847.85164 -0.047889 -9.692577 -0.126714 0.003130 0.003677 -0.729383 0.684088 0.0000048213 0.0000000676 -0.0000035139 0.0000045422 -0.0000004164 0.0004067303 0.0416415430 -0.0001144490 0.0000110150 0.0075794538 0.0001830779 0.0038477983
1666059847.95164 -0.050046 -9.828807 -0.130559 0.003827 0.007126 -0.726935 0.686659 0.0000047904 0.0000001019 -0.0000056890 0.0000045139 -0.0000020381 0.0004066329 0.0426112696 -0.0001245148 0.0000134072 0.0076276972 0.0001841649 0.0038697229
1666059848.05166 -0.059726 -9.976465 -0.135535 0.004294 0.005712 -0.726310 0.687330 0.0000047471 0.0000000780 -0.0000052259 0.0000044872 -0.0000009730 0.0004066319 0.0437966082 -0.0001610239 0.0000148671 0.0076839050 0.0001844694 0.0038945023
1666059848.15165 -0.067465 -10.125350 -0.140829 0.003753 0.005163 -0.726763 0.686859 0.0000046668 0.0000000850 -0.0000046157 0.0000044413 -0.0000009048 0.0004066071 0.0451065232 -0.0002009299 0.0000128513 0.0076335982 0.0001842502 0.0039177918
1666059848.25166 -0.074209 -10.281454 -0.141664 0.006012 0.007494 -0.726270 0.687342 0.0000047452 0.0000001075 -0.0000072715 0.0000044524 -0.0000012151 0.0004065402 0.0464222578 -0.0002362112 0.0000088628 0.0076224458 0.0001835031 0.0039491178
1666059848.35165 -0.082324 -10.436038 -0.143030 0.006166 0.007172 -0.725805 0.687836 0.0000047852 0.0000001214 -0.0000072994 0.0000044656 -0.0000010632 0.0004065518 0.0476984363 -0.0002673257 0.0000064631 0.0076707089 0.0001860862 0.0039837230
1666059848.45165 -0.086998 -10.594220 -0.148535 0.005312 0.008217 -0.724669 0.689028 0.0000048083 0.0000001391 -0.0000074358 0.0000044753 -0.0000019012 0.0004065596 0.0490175333 -0.0002879690 0.0000042722 0.0077508704 0.0001868841 0.0040207105
1666059848.55164 -0.094947 -10.738281 -0.152339 0.006463 0.009365 -0.724780 0.688886 0.0000049309 0.0000001699 -0.0000085575 0.0000044854 -0.0000018815 0.0004065254 0.0503885158 -0.0003277723 0.0000027877 0.0078730036 0.0001911767 0.0040608932
1666059848.65161 -0.104886 -10.869437 -0.157368 0.008828 0.008796 -0.722388 0.691376 0.0000048802 0.0000001419 -0.0000097380 0.0000044475 0.0000000339 0.0004063951 0.0515887226 -0.0003752427 0.0000025423 0.0079727027 0.0001954058 0.0040960238
1666059848.75161 -0.107533 -10.989315 -0.161321 0.011881 0.012797 -0.717709 0.696124 0.0000051479 0.0000001776 -0.0000137171 0.0000044507 -0.0000007475 0.0004061722 0.0526373364 -0.0003931468 0.0000005550 0.0080679036 0.0002087431 0.0041294202
1666059848.85161 -0.109806 -11.062593 -0.164647 0.007566 0.008803 -0.714500 0.699539 0.0000048829 0.0000001681 -0.0000089708 0.0000044550 -0.0000007815 0.0004064247 0.0533498040 -0.0004160380 0.0000011930 0.0080478181 0.0002290942 0.0041501013
1666059848.95162 -0.107385 -11.119571 -0.165570 0.004166 0.006218 -0.716366 0.697684 0.0000047028 0.0000001358 -0.0000057036 0.0000044232 -0.0000009925 0.0004064903 0.0539759627 -0.0004250719 0.0000027019 0.0078913688 0.0002422266 0.0041592334
1666059849.05163 -0.105379 -11.218694 -0.168518 0.000961 0.004950 -0.713543 0.700593 0.0000046632 0.0000001573 -0.0000029873 0.0000044399 -0.0000023529 0.0004065166 0.0545921191 -0.0003951090 0.0000013579 0.0077225242 0.0002382336 0.0041640529
1666059849.15162 -0.107402 -11.340414 -0.172678 0.000837 0.004150 -0.712042 0.702124 0.0000046636 0.0000001478 -0.0000025229 0.0000044363 -0.0000020479 0.0004065159 0.0557479011 -0.0004103136 0.0000026061 0.0077278605 0.0002371304 0.0041873795
1666059849.25163 -0.106109 -11.492230 -0.176296 0.001346 0.005287 -0.711356 0.702811 0.0000046224 0.0000001479 -0.0000034365 0.0000044386 -0.0000025693 0.0004064662 0.0571091277 -0.0004038527 0.0000040710 0.0076935922 0.0002275235 0.0042131144
1666059849.35164 -0.107491 -11.636850 -0.176936 0.003943 0.007401 -0.710477 0.703670 0.0000046722 0.0000001653 -0.0000061900 0.0000044199 -0.0000019972 0.0004063788 0.0586934918 -0.0004194307 0.0000040303 0.0076023326 0.0002206115 0.0042380858
1666059849.45163 -0.108838 -11.784230 -0.183130 0.003774 0.007294 -0.710623 0.703525 0.0000045972 0.0000001662 -0.0000062293 0.0000043963 -0.0000019742 0.0004063169 0.0600370557 -0.0004248473 0.0000005324 0.0074302489 0.0002068562 0.0042602913
1666059849.55161 -0.108978 -11.934011 -0.189301 0.003077 0.006791 -0.710186 0.703974 0.0000045939 0.0000001723 -0.0000053433 0.0000043991 -0.0000020865 0.0004063274 0.0614335476 -0.0004269573 0.0000008066 0.0073919434 0.0002014751 0.0042953888
1666059849.65160 -0.105287 -12.072420 -0.192684 0.001838 0.006739 -0.709414 0.704758 0.0000045873 0.0000001808 -0.0000045311 0.0000044097 -0.0000029064 0.0004063342 0.0628874959 -0.0004296305 0.0000007662 0.0074106616 0.0001997964 0.0043316610
1666059849.75160 -0.106720 -12.211109 -0.195404 0.002032 0.005120 -0.707514 0.706678 0.0000045780 0.0000001720 -0.0000037521 0.0000043988 -0.0000019017 0.0004063520 0.0642697437 -0.0004359524 0.0000021164 0.0075027870 0.0002016474 0.0043717271
1666059849.85158 -0.110532 -12.352608 -0.195333 0.001779 0.002691 -0.707250 0.706956 0.0000045705 0.0000001621 -0.0000023608 0.0000043949 -0.0000006780 0.0004063759 0.0657060684 -0.0004452130 0.0000036262 0.0075528022 0.0002004076 0.0044111472
1666059849.95153 -0.108435 -12.500967 -0.198164 0.001991 0.002836 -0.704962 0.709237 0.0000045515 0.0000001664 -0.0000026564 0.0000043878 -0.0000005197 0.0004063657 0.0672528145 -0.0004443618 0.0000044826 0.0075998168 0.0002015156 0.0044514626
1666059850.05152 -0.104519 -12.657279 -0.200018 0.001850 0.003704 -0.704222 0.709968 0.0000045694 0.0000001816 -0.0000029247 0.0000043989 -0.0000010087 0.0004063796 0.0688627300 -0.0004290343 0.0000052458 0.0077104831 0.0002048896 0.0044960098
1666059850.15153 -0.096113 -12.814316 -0.202391 0.000559 0.005823 -0.703745 0.710429 0.0000046255 0.0000002391 -0.0000033568 0.0000044553 -0.0000030987 0.0004063801 0.0705604315 -0.0003874737 0.0000052091 0.0078228197 0.0002069936 0.0045420692
1666059850.25152 -0.096210 -12.980002 -0.207862 0.003133 0.007188 -0.702786 0.711358 0.0000046599 0.0000002415 -0.0000054801 0.0000044317 -0.0000023997 0.0004063224 0.0722701508 -0.0003866702 0.0000058922 0.0079420232 0.0002110335 0.0045884157
1666059850.35151 -0.096569 -13.139189 -0.211837 0.004591 0.005904 -0.701870 0.712266 0.0000046858 0.0000002337 -0.0000055557 0.0000044408 -0.0000008034 0.0004063486 0.0739967212 -0.0004017690 0.0000074449 0.0080691649 0.0002162300 0.0046376270
1666059850.45150 -0.092098 -13.302353 -0.214835 0.005600 0.006776 -0.701758 0.712362 0.0000046888 0.0000002232 -0.0000066299 0.0000044318 -0.0000008799 0.0004063160 0.0757221034 -0.0003886246 0.0000073030 0.0081957809 0.0002231573 0.0046844965
1666059850.55149 -0.085715 -13.454200 -0.217500 0.004242 0.008015 -0.702125 0.711996 0.0000047262 0.0000002559 -0.0000066920 0.0000044568 -0.0000022251 0.0004063290 0.0774561420 -0.0003543164 0.0000064619 0.0083294845 0.0002289528 0.0047324193
1666059850.65148 -0.087524 -13.598242 -0.221369 0.005484 0.006339 -0.699722 0.714366 0.0000046359 0.0000001629 -0.0000064373 0.0000043908 -0.0000007810 0.0004063049 0.0791133673 -0.0003557656 0.0000069799 0.0084557045 0.0002360270 0.0047784642
1666059850.75146 -0.076151 -13.748541 -0.227263 0.003229 0.008326 -0.700426 0.713669 0.0000045515 0.0000001386 -0.0000065100 0.0000043616 -0.0000025830 0.0004062641 0.0806881690 -0.0003377580 0.0000047701 0.0085563458 0.0002416383 0.0048203370
1666059850.85145 -0.068329 -13.887107 -0.232371 0.001552 0.008307 -0.698074 0.715975 0.0000045325 0.0000001570 -0.0000054898 0.0000043948 -0.0000039462 0.0004062853 0.0823754559 -0.0002736835 0.0000032006 0.0086652265 0.0002442738 0.0048645913
1666059850.95144 -0.069994 -14.032414 -0.230004 0.003419 0.007028 -0.698220 0.715841 0.0000045456 0.0000001241 -0.0000055139 0.0000043702 -0.0000017510 0.0004063403 0.0840103060 -0.0002895817 0.0000036846 0.0087824961 0.0002496206 0.0049107312
1666059851.05144 -0.065085 -14.180364 -0.225290 0.003385 0.005549 -0.697080 0.716964 0.0000045336 0.0000001101 -0.0000048224 0.0000043561 -0.0000011342 0.0004063598 0.0857339065 -0.0002786150 0.0000038896 0.0089038175 0.0002559602 0.0049571256
1666059851.15145 -0.057117 -14.320052 -0.221648 -0.003052 0.001553 -0.697380 0.716693 0.0000045155 0.0000000919 0.0000012742 0.0000043999 -0.0000026369 0.0004064401 0.0873943987 -0.0002271787 0.0000028975 0.0090180493 0.0002563726 0.0050012277
1666059851.25146 -0.039088 -14.490752 -0.229403 0.001139 0.011876 -0.694825 0.719080 0.0000046507 0.0000002059 -0.0000072240 0.0000045010 -0.0000059057 0.0004063026 0.0894311073 -0.0001296612 -0.0000000179 0.0091490079 0.0002568381 0.0050476376
1666059851.35143 -0.035675 -14.662759 -0.231942 0.002186 0.010664 -0.695174 0.718760 0.0000046350 0.0000001963 -0.0000069656 0.0000044377 -0.0000048923 0.0004063183 0.0913644218 -0.0000997807 -0.0000001072 0.0092305533 0.0002488766 0.0050915999
1666059851.45144 -0.035249 -14.821287 -0.236487 0.004716 0.009325 -0.694469 0.719446 0.0000046972 0.0000001537 -0.0000076793 0.0000044324 -0.0000027514 0.0004063924 0.0934888579 -0.0000949678 0.0000026396 0.0093658375 0.0002521211 0.0051446923
1666059851.55141 -0.024325 -14.989809 -0.234253 0.010446 0.016998 -0.694048 0.719652 0.0000051790 0.0000002583 -0.0000154941 0.0000044805 -0.0000035857 0.0004059920 0.0955400883 -0.0000410615 0.0000026264 0.0095071232 0.0002569187 0.0051961948
